Flop,IP EV 1/3,IP EV,EV loss (% pot),OOP Equity,IP Equity,Flop suit,Flop type,Paired,High card paired,% nut hands (OOP),% draws (OOP),%straight flush (OOP),%quads (OOP),%fullhouse (OOP),%flush (OOP),%straight (OOP),%set (OOP),%trips (OOP),%two pair (OOP),%overpair (OOP),%top pair (OOP),%middle pair (OOP),%bottom pair (OOP),%underpair (OOP),%low pair (OOP),%A high (OOP),%K high (OOP),%combo draw (OOP),%flush draw (OOP),%OESD (OOP),%gutshot (OOP),%nothing (OOP),%nut hands (IP),%draws (IP),%straight flush (IP),%quads (IP),%fullhouse (IP),%flush (IP),%straight (IP),%set (IP),%trips (IP),%two pair (IP),%overpair (IP),%top pair (IP),%middle pair (IP),%bottom pair (IP),%underpair (IP),%low pair (IP),%A high (IP),%K high (IP),%combo draw (IP),%flush draw (IP),%OESD (IP),%gutshot (IP),%nothing (IP)
As 2s 2d,30.1478,30.8159,0.012147273,45.52,54.48,tt,A8-,1,0,0.037,0.102,0,0.002,0.011,0,0,0,0.024,0,0,0.191,0,0,0.073,0,0,0.18,0.006,0.079,0,0.017,0.518,0.024,0.093,0,0.002,0.017,0,0,0,0.005,0,0,0.246,0,0,0.123,0,0,0.186,0.006,0.07,0,0.017,0.422
Jd 3s 2s,30.9719,31.2626,0.005285455,46.85,53.15,tt,1BW,0,0,0.026,0.145,0,0,0,0,0,0.012,0,0.014,0,0.128,0.057,0.047,0.06,0,0.205,0.14,0.006,0.072,0.005,0.062,0.337,0.048,0.155,0,0,0,0,0,0.016,0,0,0.032,0.128,0.041,0.029,0.076,0,0.259,0.144,0.009,0.076,0.005,0.065,0.275
9d 4s 2s,31.4646,31.8001,0.0061,46.47,53.53,tt,1BW,0,0,0.021,0.147,0,0,0,0,0,0.015,0,0.006,0,0.15,0.067,0.065,0.042,0,0.194,0.139,0.007,0.07,0.006,0.064,0.321,0.07,0.148,0,0,0,0,0,0.016,0,0,0.054,0.143,0.052,0.04,0.044,0,0.261,0.145,0.008,0.074,0.005,0.061,0.244
8c 5d 2s,31.1091,31.8673,0.013785455,46.92,53.08,r,Rags,0,0,0.029,0.129,0,0,0,0,0,0.015,0,0.008,0.006,0.126,0.07,0.077,0.024,0,0.194,0.139,0,0,0.042,0.087,0.341,0.085,0.104,0,0,0,0,0,0.016,0,0.004,0.065,0.12,0.056,0.05,0.022,0,0.26,0.145,0,0,0.022,0.082,0.262
Ac 6d 2s,31.9954,32.18,0.003356364,45.36,54.64,r,A8-,0,0,0.047,0.023,0,0,0,0,0,0.012,0,0.035,0,0.17,0.071,0.074,0.025,0,0,0.174,0,0,0,0.023,0.438,0.051,0.023,0,0,0,0,0,0.017,0,0.034,0,0.227,0.049,0.041,0.079,0,0,0.182,0,0,0,0.023,0.371
8c 7d 2s,31.5449,31.9613,0.007570909,46.85,53.15,r,Rags,0,0,0.036,0.128,0,0,0,0,0,0.015,0,0.015,0.006,0.111,0.087,0.108,0,0,0.193,0.142,0,0,0.041,0.087,0.321,0.088,0.126,0,0,0,0,0,0.016,0,0.007,0.065,0.116,0.065,0.072,0,0,0.262,0.145,0,0,0.044,0.082,0.251
Td 7s 2s,30.9963,31.6546,0.011969091,48.09,51.91,tt,1BW,0,0,0.015,0.148,0,0,0,0,0,0.012,0,0.003,0,0.149,0.104,0.109,0.012,0,0.196,0.14,0.008,0.068,0.028,0.044,0.27,0.064,0.158,0,0,0,0,0,0.016,0,0.004,0.044,0.125,0.07,0.073,0.022,0,0.262,0.146,0.009,0.067,0.027,0.055,0.239
Qs 8d 2s,33.0215,33.3535,0.006036364,45.57,54.43,tt,1BW,0,0,0.019,0.162,0,0,0,0,0,0.009,0,0.01,0,0.113,0.126,0.114,0.006,0,0.223,0.126,0.004,0.074,0,0.084,0.272,0.051,0.163,0,0,0,0,0,0.017,0,0.012,0.022,0.013,0.115,0.084,0.033,0,0.267,0.126,0.006,0.073,0,0.084,0.192
Jc Td 2s,32.8542,33.0013,0.002674545,46.65,53.35,r,2BW+,0,0,0.026,0.156,0,0,0,0,0,0.006,0,0.02,0,0.115,0.132,0.128,0,0,0.209,0.123,0,0,0.082,0.074,0.266,0.067,0.218,0,0,0,0,0,0.017,0,0.017,0.033,0.11,0.11,0.107,0,0,0.266,0.126,0,0,0.089,0.129,0.214
Ks Td 2s,32.3491,32.5533,0.003712727,45.81,54.19,tt,2BW+,0,0,0.028,0.184,0,0,0,0,0,0.006,0,0.022,0,0.113,0.132,0.127,0,0,0.227,0,0.004,0.075,0.028,0.077,0.372,0.05,0.216,0,0,0,0,0,0.017,0,0.022,0.011,0.14,0.112,0.103,0.022,0,0.269,0,0.009,0.067,0.028,0.112,0.304
